Postcode,In Use?,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude
BR1 1AA,No,51.406271,0.015177,540260,169398,TQ402693,"Greater London","Bromley","Bromley Town", E09000006,E05000109,England,E11000009,"Bromley and Chislehurst",1990-02-01,2008-12-01,"","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,71
BR3 3BE,Yes,51.388305,-0.018124,537998,167337,TQ379673,"Greater London","Bromley","Kelsey and Eden Park", E09000006,E05000120,England,E11000009,"Beckenham",1980-01-01,,"","",,,"Greater London","Bromley","Bromley 024C","Urban major conurbation",London,53
BR3 3BF,Yes,51.390677,-0.02758,537333,167583,TQ373675,"Greater London","Bromley","Kelsey and Eden Park", E09000006,E05000120,England,E11000009,"Beckenham",2003-03-01,,"","",7,4,"Greater London","Bromley","Bromley 024C","Urban major conurbation",London,54
BR4 0XB,No,51.376166,-0.015028,538250,165993,TQ382659,"Greater London","Bromley","West Wickham", E09000006,E05000127,England,E11000009,"Beckenham",2008-01-01,2009-01-01,"","",,,"Greater London","Bromley","Bromley 030B","Urban major conurbation",London,79
BR4 0XD,No,51.376166,-0.015028,538250,165993,TQ382659,"Greater London","Bromley","West Wickham", E09000006,E05000127,England,E11000009,"Beckenham",2008-04-01,2011-05-01,"","",,,"Greater London","Bromley","Bromley 030B","Urban major conurbation",London,79
CR0 1HA,Yes,51.368352,-0.093592,532805,164979,TQ328649,"Greater London","Croydon","Fairfield", E09000008,E05000153,England,E11000009,"Croydon Central",1980-01-01,,"","",146,67,"Greater London","Croydon","Croydon 027C","Urban major conurbation",London,70
CR0 1HB,Yes,51.371487,-0.093376,532811,165328,TQ328653,"Greater London","Croydon","Fairfield", E09000008,E05000153,England,E11000009,"Croydon Central",1980-01-01,,"","",54,30,"Greater London","Croydon","Croydon 027C","Urban major conurbation",London,66
CR0 1HD,Yes,51.366734,-0.096417,532613,164794,TQ326647,"Greater London","Croydon","Fairfield", E09000008,E05000153,England,E11000009,"Croydon Central",1980-01-01,,"","",52,25,"Greater London","Croydon","Croydon 027D","Urban major conurbation",London,58
EC1M 4BE,No,51.520896,-0.100908,531856,181929,TQ318819,"Greater London","Islington","Bunhill", E09000019,E05000367,England,E11000009,"Islington South and Finsbury",1980-01-01,1999-12-01,"","",,,"Greater London","Islington","Islington 022H","Urban major conurbation",London,25
EC1M 4BF,Yes,51.521137,-0.102426,531750,181953,TQ317819,"Greater London","Islington","Clerkenwell", E09000019,E05000370,England,E11000009,"Islington South and Finsbury",1999-12-01,,"","",,,"Greater London","Islington","Islington 022D","Urban major conurbation",London,23
